glytoucan_ac,pubchem_cid
G06142UM,91851988
G06148DR,91851355
G06152YZ,156615139
G06162IF,91855161
G06171TF,192435
G06171TU,91851884
G06172PE,91862224
G06172YF,91847024
G06191GU,91854397
G06206UV,91854032
G06209KS,91855835
G06210XB,16216990
G06215DG,91845787
G06216UH,91858066
G06239NA,10230777
G06240OP,91847151
G06250ZP,71297568
G06251VA,91852489
G06260DN,168357600
G06261WT,168357601
G06282FB,91825696
G06283RQ,156614680
G06290ZS,91858469
G06291OS,91862756
G06301TU,91860908
G06303JQ,91861841
G06341YK,91856575
G06342XU,91845186
G06348JD,294
G06353XM,91849480
G06357PG,146016379
G06371NP,71297506
G06374RJ,10486441
G06374YY,156616426
G06375IT,156617157
G06386LP,156615746
G06400QJ,91853563
G06404ZJ,91852846
G06408QU,146015650
G06410KH,91848269
G06414UP,91846273
G06419VB,91845301
G06435EU,91860550
G06435TQ,91860546
G06437BU,71298045
G06444QV,91855520
G06460LD,91854648
G06467WI,168357642
G06483KZ,10303841
G06489EZ,171122136
G06507BB,91857894
G06510ZF,96358169
G06511XS,91856669
G06523WI,71298423
G06525SB,91860913
G06550JR,91857639
G06553ZS,145712507
G06557IC,71297248
G06563KK,168357661
G06564PT,91851614
G06564PZ,51351815
G06568GE,91861247
G06580KR,24826242
G06581HO,91847584
G06583IY,91860029
G06585BR,171122142
G06594DV,146017650
G06595MR,91850134
G06597DS,91855346
G06615BG,146016043
G06616KY,71297257
G06624ZC,91855283
G06631LJ,168357686
G06635WE,91851056
G06648CG,156615125
G06650TB,91851817
G06654RA,91854473
G06663AZ,91855244
G06675AE,168357691
G06676BQ,91854474
G06698DE,91858899
G06705NF,91848452
G06710OE,91858049
G06721LM,91853155
G06726TJ,156618428
G06729UK,156617261
G06731AE,71297690
G06768XI,71297338
G06772YH,146016633
G06778YR,91859397
G06783AN,91854207
G06786CI,91854040
G06795XH,156616481
G06804FL,91853011
G06810UA,91859258
G06811VQ,91856420
G06850AE,91855794
G06850UL,91849262
G06851NM,91847324
G06851TU,91846384
G06862BZ,91862009
G06864JC,156617801
G06867QT,168357734
G06873PC,70678957
G06881DK,14131409
G06884HP,5184980
G06885ZB,146017141
G06898ZN,146015977
G06910AO,91854406
G06912LX,10440216
G06920GM,71297402
G06931TP,91858192
G06953DR,146016808
G06966YC,156617369
G06968OS,156614853
G06969ZX,91846249
G06971VR,91860310
G06990MN,156614553
G06996VN,448924
G07006BT,25310
G07014AW,91853695
G07015TW,146016151
G07017AJ,872
G07020WN,91861540
G07041CT,146017242
G07043KC,91858741
G07059FD,91852503
G07061BV,71298404
G07075ZE,91854948
G07078LK,91859151
G07085NZ,91853091
G07095PT,441421
G07098TP,71297479
G07099ZR,171122170
G07100DF,171122171
G07136WT,91846768
G07141SK,91856305
G07145VL,91852101
G07147QM,91851841
G07162IJ,146016678
G07164WO,91845524
G07169PS,71297404
G07191NE,146016549
G07195XP,91854617
G07209HW,91852706
G07226AQ,91848931
G07228BR,91858671
G07233JN,156617765
G07245OG,91852660
G07248LS,156617374
G07262RR,91853816
G07265MJ,11014452
G07286WG,91852470
G07291XL,168357816
G07292LK,71297613
G07293JT,71298106
G07301IS,91860730
